@relation query4

@attribute script_run_id string
@attribute script_run_dir string
@attribute length {80,100,200}
@attribute similarity {40,65,80}
@attribute word_length {10,12,16}
@attribute fixed_length {1}
@attribute duration numeric
@attribute total_fasta_length numeric
@attribute total_read numeric
@attribute total_written numeric
@attribute total_written/total_fasta_length numeric
@attribute total_genomes {10,20,30,40}

@data
'allvsall-run001-4200570702','/dcap1/mluiza/gecko/peerj/10genomas',100,40,10,1,771.0990002155,41519077,274139657783,247482265328,5960,10
'allvsall-run002-182421148','/dcap1/mluiza/gecko/peerj/10genomas',100,40,10,1,520.5399999619,41519077,274139657783,247482265328,5960,10
'allvsall-run003-62566890','/dcap1/mluiza/gecko/peerj/10genomas',100,40,10,1,781.4900000095,41519077,274139657783,247482265328,5960,10
'allvsall-run001-2850246475','/dcap1/mluiza/gecko/peerj/20genomas',100,40,10,1,2497.4479999542,73285237,1020226222643,914048102908,12472,20
'allvsall-run002-2734529388','/dcap1/mluiza/gecko/peerj/20genomas',100,40,10,1,2443.9270000458,73285237,1020226222643,914048102908,12472,20
'allvsall-run003-2743473989','/dcap1/mluiza/gecko/peerj/20genomas',100,40,10,1,2228.3289999962,73285237,1020226222643,914048102908,12472,20
'allvsall-run001-3661850555','/dcap1/mluiza/gecko/peerj/30genomas',100,40,10,1,13001.4299998283,113556442,2517384481624,2261910704244,19918,30
'allvsall-run002-1962227790','/dcap1/mluiza/gecko/peerj/30genomas',100,40,10,1,12931.0559999943,113556442,2517384481624,2261910704244,19918,30
'allvsall-run003-3414233754','/dcap1/mluiza/gecko/peerj/30genomas',100,40,10,1,12998.0450000763,113556442,2517384481624,2261910704244,19918,30
'allvsall-run001-955866043','/dcap1/mluiza/gecko/peerj/40genomas',100,40,10,1,26261.9869999886,149261021,4398871175727,3943571195394,26420,40
'allvsall-run002-2740153759','/dcap1/mluiza/gecko/peerj/40genomas',100,40,10,1,24373.992000103,149261021,4398871175727,3943571195394,26420,40
'allvsall-run003-2264115433','/dcap1/mluiza/gecko/peerj/40genomas',100,40,10,1,25631.4990000725,149261021,4398871175727,3943571195394,26420,40
'allvsall-run001-1604534909','/dcap1/mluiza/gecko/peerj/10genomas',100,40,12,1,156.1939997673,41519077,51831370047,25173868704,606,10
'allvsall-run001-3467166799','/dcap1/mluiza/gecko/peerj/10genomas',100,40,12,1,136.9880001545,41519077,51831370047,25173868704,606,10
'allvsall-run002-1579558555','/dcap1/mluiza/gecko/peerj/10genomas',100,40,12,1,84.7660000324,41519077,51831370047,25173868704,606,10
'allvsall-run001-1245444663','/dcap1/mluiza/gecko/peerj/20genomas',100,40,12,1,172.5789999962,73285237,188396584373,82218077499,1121,20
'allvsall-run001-3334207520','/dcap1/mluiza/gecko/peerj/20genomas',100,40,12,1,219.4249999523,73285237,188396584373,82218077499,1121,20
'allvsall-run002-2445941849','/dcap1/mluiza/gecko/peerj/20genomas',100,40,12,1,185.2139999866,73285237,188396584373,82218077499,1121,20
'allvsall-run001-212412200','/dcap1/mluiza/gecko/peerj/30genomas',100,40,12,1,224.2999999523,113556442,447967291825,192492600264,1695,30
'allvsall-run001-3397505855','/dcap1/mluiza/gecko/peerj/30genomas',100,40,12,1,241.3480000496,113556442,447967291825,192492600264,1695,30
'allvsall-run002-1187958584','/dcap1/mluiza/gecko/peerj/30genomas',100,40,12,1,232.9879999161,113556442,447967291825,192492600264,1695,30
'allvsall-run001-1316718543','/dcap1/mluiza/gecko/peerj/40genomas',100,40,12,1,405.2130000591,149261021,787599286562,332297516497,2226,40
'allvsall-run001-3684805430','/dcap1/mluiza/gecko/peerj/40genomas',100,40,12,1,411.0920000076,149261021,787599286562,332297516497,2226,40
'allvsall-run002-1936831904','/dcap1/mluiza/gecko/peerj/40genomas',100,40,12,1,491.8970000744,149261021,787599286562,332297516497,2226,40
'allvsall-run001-103739331','/dcap1/mluiza/gecko/peerj/10genomas',100,40,16,1,20.7940001488,41519077,34213980199,7556303515,181,10
'allvsall-run001-1081294660','/dcap1/mluiza/gecko/peerj/10genomas',100,40,16,1,20.993999958,41519077,34213980199,7556303515,181,10
'allvsall-run002-2804796641','/dcap1/mluiza/gecko/peerj/10genomas',100,40,16,1,22.4769999981,41519077,34213980199,7556303515,181,10
'allvsall-run001-1983496141','/dcap1/mluiza/gecko/peerj/20genomas',100,40,16,1,28.0099999905,73285237,119808076600,13628907156,185,20
'allvsall-run001-989510769','/dcap1/mluiza/gecko/peerj/20genomas',100,40,16,1,28.2760000229,73285237,119808076600,13628907156,185,20
'allvsall-run002-505784011','/dcap1/mluiza/gecko/peerj/20genomas',100,40,16,1,30.245000124,73285237,119808076600,13628907156,185,20
'allvsall-run001-2166676308','/dcap1/mluiza/gecko/peerj/30genomas',100,40,16,1,77.0859999657,113556442,277170955893,21694836296,191,30
'allvsall-run001-440813071','/dcap1/mluiza/gecko/peerj/30genomas',100,40,16,1,78.9879999161,113556442,277170955893,21694836296,191,30
'allvsall-run002-3273382646','/dcap1/mluiza/gecko/peerj/30genomas',100,40,16,1,81.0920000076,113556442,277170955893,21694836296,191,30
'allvsall-run001-1541838131','/dcap1/mluiza/gecko/peerj/40genomas',100,40,16,1,217.9779999256,149261021,485403326981,30098738516,201,40
'allvsall-run001-2538895542','/dcap1/mluiza/gecko/peerj/40genomas',100,40,16,1,218.8120000362,149261021,485403326981,30098738516,201,40
'allvsall-run002-1217067229','/dcap1/mluiza/gecko/peerj/40genomas',100,40,16,1,231.6210000515,149261021,485403326981,30098738516,201,40
'allvsall-run001-272179397','/dcap1/mluiza/gecko/peerj/10genomas',100,65,12,1,174.4739999771,41519077,51828750608,25170424377,606,10
'allvsall-run002-143089129','/dcap1/mluiza/gecko/peerj/10genomas',100,65,12,1,149.6370000839,41519077,51828750608,25170424377,606,10
'allvsall-run003-2115199454','/dcap1/mluiza/gecko/peerj/10genomas',100,65,12,1,111.5469999313,41519077,51828750608,25170424377,606,10
'allvsall-run001-2341104248','/dcap1/mluiza/gecko/peerj/20genomas',100,65,12,1,174.5549998283,73285237,188388620153,82207612768,1121,20
'allvsall-run002-4036820307','/dcap1/mluiza/gecko/peerj/20genomas',100,65,12,1,177.1679999828,73285237,188388620153,82207612768,1121,20
'allvsall-run003-943208625','/dcap1/mluiza/gecko/peerj/20genomas',100,65,12,1,185.6739997864,73285237,188388620153,82207612768,1121,20
'allvsall-run001-1288384770','/dcap1/mluiza/gecko/peerj/30genomas',100,65,12,1,302.3370001316,113556442,447951817285,192472255931,1694,30
'allvsall-run002-1931276770','/dcap1/mluiza/gecko/peerj/30genomas',100,65,12,1,227.5559999943,113556442,447951817285,192472255931,1694,30
'allvsall-run003-1739612509','/dcap1/mluiza/gecko/peerj/30genomas',100,65,12,1,206.5280001163,113556442,447951817285,192472255931,1694,30
'allvsall-run001-1850123701','/dcap1/mluiza/gecko/peerj/40genomas',100,65,12,1,288.1940000057,149261021,787565924714,332253660463,2225,40
'allvsall-run002-374767950','/dcap1/mluiza/gecko/peerj/40genomas',100,65,12,1,332.0759999752,149261021,787565924714,332253660463,2225,40
'allvsall-run003-4016510474','/dcap1/mluiza/gecko/peerj/40genomas',100,65,12,1,344.9019999504,149261021,787565924714,332253660463,2225,40
'allvsall-run001-630115452','/dcap1/mluiza/gecko/peerj/10genomas',100,65,16,1,21.1510000229,41519077,34211808069,7553446794,181,10
'allvsall-run002-3225422666','/dcap1/mluiza/gecko/peerj/10genomas',100,65,16,1,22.120000124,41519077,34211808069,7553446794,181,10
'allvsall-run003-290591262','/dcap1/mluiza/gecko/peerj/10genomas',100,65,16,1,22.0280001163,41519077,34211808069,7553446794,181,10
'allvsall-run001-2806280409','/dcap1/mluiza/gecko/peerj/20genomas',100,65,16,1,28.5980000496,73285237,119801830520,13620695356,185,20
'allvsall-run002-1495838709','/dcap1/mluiza/gecko/peerj/20genomas',100,65,16,1,31.5559999943,73285237,119801830520,13620695356,185,20
'allvsall-run003-1476116274','/dcap1/mluiza/gecko/peerj/20genomas',100,65,16,1,30.6829998493,73285237,119801830520,13620695356,185,20
'allvsall-run001-1741857441','/dcap1/mluiza/gecko/peerj/30genomas',100,65,16,1,77.246999979,113556442,277159133190,21679284099,190,30
'allvsall-run002-4001014873','/dcap1/mluiza/gecko/peerj/30genomas',100,65,16,1,87.4330000877,113556442,277159133190,21679284099,190,30
